ID,ID,texture,sand,silt,clay,cm,depth
1,Andrena asteris nest 1,sandy loam,61.5,36.6,1.9,81,brood cell
2,Andrena asteris nest 1,sandy loam,54.8,43.4,1.8,81,brood cell
3,Andrena asteris nest 1,sandy loam,59,39.2,1.9,81,brood cell
4,Andrena asteris nest 2,sandy loam,62.4,36.1,1.5,86,brood cell
5,Andrena asteris nest 2,sandy loam,61.8,36.9,1.3,86,brood cell
6,Andrena asteris nest 2,sandy loam,62.3,35.9,1.9,86,brood cell
7,Andrena asteris nest 3,sandy loam,57.1,41.6,1.4,91,brood cell
8,Andrena asteris nest 3,sandy loam,56.8,41.6,1.6,91,brood cell
9,Andrena asteris nest 3,sandy loam,56.4,42.4,1.3,91,brood cell
10,Andrena asteris nest 4,sandy loam,54.3,44.6,1.1,91,brood cell
11,Andrena asteris nest 4,sandy loam,53.8,45.9,0.3,91,brood cell
12,Andrena asteris nest 4,sandy loam,57.1,42.3,0.6,91,brood cell
13,Andrena asteris surface soil,sand,94.4,5.3,0.3,0-5,surface
14,Andrena asteris surface soil,sand,94.1,5.5,0.4,0-5,surface
15,Andrena asteris surface soil,sand,95.2,4,0.8,0-5,surface
