date,lat,lon,data_source,scanID,gbifID,PBIUSI,spp
2007-09-25T00:00:00Z,42.3411,-70.8962,SCAN/GBIF,20416054,813416491,NA,Aasteris
2007-10-02T00:00:00Z,42.3661,-70.9795,SCAN/GBIF,20323587,813417608,NA,Aasteris
2005-09-27T00:00:00Z,42.3172,-71.0087,SCAN/GBIF,20323588,813417609,NA,Aasteris
2010-10-13T00:00:00Z,42.3163,-71.0085,SCAN/GBIF,20323589,813417610,NA,Aasteris
1974-09-27T00:00:00Z,41.1676,-71.6106,SCAN/GBIF,14342450,1039167708,NA,Aasteris
1974-09-20T00:00:00Z,41.1899,-71.5793,SCAN/GBIF,14347148,1039172021,NA,Aasteris
1974-09-27T00:00:00Z,41.2326,-71.5776,SCAN/GBIF,14351009,1039175549,NA,Aasteris
1974-09-27T00:00:00Z,41.1717,-71.5943,SCAN/GBIF,14380784,1039204873,NA,Aasteris
1973-06-26T00:00:00Z,41.1756,-71.5918,SCAN/GBIF,14236606,1039063656,NA,Aasteris
2010-10-14T00:00:00Z,42.3273,-70.9255,SCAN/GBIF,23081551,1456620319,NA,Aasteris
1984-10-06T00:00:00Z,42.453,-76.4735,SCAN,34630476,NA,NA,Aasteris
1973-09-27T00:00:00Z,41.4505,-70.922,SCAN/AMNH,56688113,NA,UCMS_ENT 00058979,Aasteris
1975-10-08T00:00:00Z,41.4166,-70.9356,SCAN,56688996,NA,NA,Aasteris
2010-10-03T00:00:00Z,41.1547,-71.59,SCAN,56692347,NA,NA,Aasteris
2010-09-14T00:00:00Z,41.502,-70.707,SCAN/AMNH,56708515,NA,UCMS_ENT 00060529,Aasteris
2005-09-26T00:00:00Z,41.0977,-72.1039,SCAN/GBIF/AMNH,56723728,2804707049,AMNH_BEE 00011370,Aasteris
2004-08-30T00:00:00Z,41.2852,-72.4475,SCAN,56768467,NA,NA,Aasteris
2010-09-13T00:00:00Z,41.3308,-72.9198,SCAN,56951087,NA,NA,Aasteris
2010-09-21T00:00:00Z,41.322,-70.8105,SCAN/AMNH,56862266,NA,AMNH_BEE 00133427,Aasteris
2010-09-21T00:00:00Z,41.318600000000004,-70.8014,SCAN/AMNH,56859987,NA,AMNH_BEE 00131845,Aasteris
2001-10-07T00:00:00Z,31.3972,-81.2789,SCAN,56901520,NA,NA,Aasteris
2001-09-20T00:00:00Z,45.12,-64.26,GBIF,NA,3346495053,NA,Aasteris
2001-09-20T00:00:00Z,45.12,-64.2,GBIF,NA,3346462910,NA,Aasteris
2010-09-21T00:00:00Z,41.3219,-70.8105,GBIF,NA,2804622578,NA,Aasteris
